step,reward,total_reward,price
0,1000.0,1000.0,84184.7
1,1000.0,2000.0,84128.9
2,1000.0,3000.0,83966.7
3,1000.0,4000.0,84067.1
4,1000.0,5000.0,84092.5
5,1000.0,6000.0,84189.8
6,1000.0,7000.0,84194.5
7,1000.0,8000.0,84130.9
8,1000.0,9000.0,83904.0
9,1000.0,10000.0,83974.3
10,1000.0,11000.0,83910.1
11,1000.0,12000.0,83805.9
12,1000.0,13000.0,83958.1
13,1000.0,14000.0,84029.4
14,1000.0,15000.0,84196.5
15,1000.0,16000.0,84198.6
16,1000.0,17000.0,84070.0
17,1000.0,18000.0,84189.6
18,1000.0,19000.0,84193.1
19,1000.0,20000.0,84230.1
20,1000.0,21000.0,84300.0
21,1000.0,22000.0,84279.2
22,1000.0,23000.0,84414.5
23,1000.0,24000.0,84632.8
24,1000.0,25000.0,84681.3
25,1000.0,26000.0,85030.0
26,1000.0,27000.0,84860.1
27,1000.0,28000.0,85141.5
28,1000.0,29000.0,85211.0
29,1000.0,30000.0,84982.4
30,1000.0,31000.0,84939.9
31,1000.0,32000.0,84971.5
32,1000.0,33000.0,85053.4
33,1000.0,34000.0,85144.0
34,1000.0,35000.0,85329.1
35,1000.0,36000.0,86037.8
36,1000.0,37000.0,85989.5
37,1000.0,38000.0,85529.9
38,1000.0,39000.0,85830.5
39,1000.0,40000.0,86501.1
40,1000.0,41000.0,86806.3
41,1000.0,42000.0,86869.2
42,1000.0,43000.0,87090.7
43,1000.0,44000.0,86843.6
44,1000.0,45000.0,87369.4
45,1000.0,46000.0,87127.2
46,1000.0,47000.0,87740.0
47,1000.0,48000.0,87646.6
48,1000.0,49000.0,87299.9
49,1000.0,50000.0,87657.8
50,1000.0,51000.0,87933.0
51,1000.0,52000.0,88283.9
52,1000.0,53000.0,88007.7
53,1000.0,54000.0,88414.6
54,1000.0,55000.0,88400.0
55,1000.0,56000.0,88165.2
56,1000.0,57000.0,87785.9
57,1000.0,58000.0,88067.2
58,1000.0,59000.0,87419.4
59,1000.0,60000.0,87459.9
60,1000.0,61000.0,87565.3
61,1000.0,62000.0,87053.9
62,1000.0,63000.0,86819.6
63,1000.0,64000.0,86468.5
64,1000.0,65000.0,86497.8
65,1000.0,66000.0,86594.0
66,1000.0,67000.0,86502.0
67,1000.0,68000.0,86408.9
68,1000.0,69000.0,86662.2
69,1000.0,70000.0,87181.6
70,1000.0,71000.0,87084.8
71,1000.0,72000.0,87333.4
72,1000.0,73000.0,87056.9
73,1000.0,74000.0,87571.1
74,1000.0,75000.0,87951.3
75,1000.0,76000.0,87731.2
76,1000.0,77000.0,87765.1
77,1000.0,78000.0,87885.5
